"Class Name - Allocated Objects","Bytes Allocated","Bytes Allocated","Objects Allocated"
"java.awt.DefaultKeyboardFocusManager$DefaultKeyboardFocusManagerSentEvent","0.00%","1232","100"
"java.util.concurrent.locks.ReentrantLock$NonfairSync","0.00%","1216","163"
"java.util.Date","0.00%","1200","218"
"com.sun.imageio.plugins.jpeg.DHTMarkerSegment","0.00%","1184","150"
"javax.swing.event.EventListenerList","0.00%","1184","320"
"com.sun.imageio.plugins.jpeg.ImageTypeIterator","0.00%","1176","214"
"java.util.zip.ZipEntry","0.00%","1152","74"
"com.bixly.pastevid.util.view.JRoundedPanel","0.00%","1152","9"
"javax.swing.GroupLayout$ParallelGroup","0.00%","1152","75"
"java.awt.image.ComponentColorModel","0.00%","1144","51"
"sun.net.www.protocol.file.FileURLConnection","0.00%","1144","53"
"com.bixly.pastevid.editors.VideoScrubManager$1","0.00%","1136","325"
"com.sun.imageio.plugins.jpeg.DQTMarkerSegment","0.00%","1120","150"
"javax.imageio.IIOImage","0.00%","1120","150"
"java.io.BufferedInputStream","0.00%","1080","121"
"java.util.TimerTask[]","0.00%","1056","8"
"java.lang.Long[]","0.00%","1040","1"
"java.lang.Short[]","0.00%","1040","1"
"com.sun.imageio.plugins.jpeg.SOSMarkerSegment$ScanComponentSpec[]","0.00%","1024","150"
"com.sun.imageio.plugins.jpeg.SOFMarkerSegment$ComponentSpec[]","0.00%","1024","150"
"java.awt.ImageMediaEntry","0.00%","1008","91"
"javax.swing.GroupLayout$SequentialGroup","0.00%","1008","85"
"java.awt.PointerInfo","0.00%","1008","194"
"java.text.DecimalFormat","0.00%","1008","32"
"int[][]","0.00%","1000","182"
"java.net.URLClassLoader$2","0.00%","984","186"
"java.text.FieldPosition$Delegate","0.00%","984","189"
"java.text.DecimalFormatSymbols","0.00%","960","64"
"sun.util.calendar.Gregorian$Date","0.00%","960","45"
"javax.imageio.ImageReadParam","0.00%","960","49"
"com.sun.imageio.plugins.common.SubImageInputStream","0.00%","936","49"
"java.util.concurrent.ConcurrentHashMap$HashEntry[]","0.00%","920","171"
"sun.font.TrueTypeFont$DirectoryEntry","0.00%","896","119"
"com.bixly.pastevid.editors.ScreenshotFile","0.00%","880","97"
"javax.swing.ArrayTable","0.00%","880","253"
"java.lang.Short","0.00%","880","256"
"sun.nio.cs.UTF_8$Encoder","0.00%","864","82"
"apple.awt.EventFactoryProxy$2","0.00%","816","228"
"javax.swing.ImageIcon","0.00%","816","81"
"javax.sound.sampled.AudioFormat[]","0.00%","808","50"
"javax.imageio.plugins.jpeg.JPEGQTable[]","0.00%","792","150"
"javax.imageio.ImageTypeSpecifier","0.00%","792","150"
"java.util.GregorianCalendar","0.00%","784","32"
"javax.swing.JProgressBar","0.00%","768","7"
"sun.awt.EventListenerAggregate","0.00%","752","209"
"java.util.RandomAccessSubList","0.00%","736","102"
"sun.util.calendar.ZoneInfo","0.00%","728","59"
"sun.awt.image.PNGImageDecoder","0.00%","720","23"
"java.lang.Object[][]","0.00%","720","8"
"com.bixly.pastevid.screencap.RecorderPanel","0.00%","680","1"
"javax.swing.GroupLayout$AutoPreferredGapMatch","0.00%","672","119"
"java.util.regex.Pattern$Single","0.00%","672","118"
"java.awt.event.PaintEvent","0.00%","672","62"
"javax.imageio.stream.FileCacheImageInputStream$StreamDisposerRecord","0.00%","648","121"
"java.util.regex.Pattern$TreeInfo","0.00%","648","114"
"com.bric.qt.io.Frame","0.00%","624","119"
"apple.awt.OSXImageRepresentation","0.00%","624","27"
"javax.swing.plaf.ColorUIResource","0.00%","624","55"
"java.util.regex.Pattern$Start","0.00%","624","114"
"javax.swing.GroupLayout$ContainerAutoPreferredGapSpring","0.00%","616","29"
"java.util.zip.InflaterInputStream","0.00%","600","72"
"java.awt.FlowLayout","0.00%","600","66"
"boolean[]","0.00%","592","42"
"sun.net.www.MimeEntry","0.00%","576","53"
"java.lang.ThreadLocal$ThreadLocalMap$Entry","0.00%","576","80"
"java.util.HashMap$KeySet","0.00%","576","169"
"apple.awt.CFrame","0.00%","552","10"
"java.util.SubList$1","0.00%","552","102"
"java.util.zip.Inflater","0.00%","544","76"
"java.lang.Character[]","0.00%","528","1"
"javax.swing.GroupLayout$ComponentInfo","0.00%","528","47"
"java.util.WeakHashMap$Entry[]","0.00%","520","27"
"javax.swing.SizeRequirements","0.00%","512","74"
"apple.laf.JRSUIConstants$Widget","0.00%","512","71"
"java.util.regex.Pattern$Curly","0.00%","512","65"
"java.io.DataInputStream","0.00%","512","72"
"java.util.ResourceBundle$CacheKey","0.00%","504","37"
"com.bixly.pastevid.screencap.components.preview.PreviewPlayer","0.00%","504","1"
"java.lang.ThreadLocal$ThreadLocalMap","0.00%","480","85"
"javax.imageio.ImageTypeSpecifier$Interleaved","0.00%","480","51"
"javax.swing.JTextField","0.00%","480","1"
"sun.misc.FloatingDecimal","0.00%","480","48"
"javax.swing.JCheckBox","0.00%","480","2"
"javax.swing.GroupLayout$AutoPreferredGapSpring","0.00%","480","30"
"java.lang.StringCoding$StringEncoder","0.00%","480","86"
"javax.swing.JToggleButton","0.00%","472","4"
"com.bixly.pastevid.screencap.components.capturebox.DragBox","0.00%","472","1"
"javax.swing.JTextArea","0.00%","472","1"
"com.bixly.pastevid.screencap.components.preview.PreviewPlayerForm","0.00%","464","1"
"com.bixly.pastevid.screencap.components.settings.SettingsForm","0.00%","456","1"
"com.bixly.pastevid.screencap.ScreenRecorder","0.00%","456","1"
"javax.swing.JDialog","0.00%","448","3"
"java.lang.Character","0.00%","448","129"
"java.text.SimpleDateFormat","0.00%","448","30"
"javax.swing.JFrame","0.00%","448","3"
"java.util.zip.ZStreamRef","0.00%","432","76"
"java.awt.Canvas","0.00%","432","7"
"com.bixly.pastevid.screencap.components.capturebox.HBorder","0.00%","424","2"
"javax.swing.SwingUtilities$SharedOwnerFrame","0.00%","424","1"
"javax.swing.Popup$HeavyWeightWindow","0.00%","416","2"
"com.sun.imageio.stream.StreamCloser$CloseAction","0.00%","416","121"
"com.bixly.pastevid.screencap.components.capturebox.VBorder","0.00%","416","2"
"javax.swing.JScrollPane","0.00%","408","1"
"sun.swing.SwingLazyValue","0.00%","408","81"
"javax.swing.JOptionPane","0.00%","400","2"
"com.bixly.pastevid.util.view.JLinkLabel","0.00%","400","1"
"javax.swing.JSlider","0.00%","392","2"
"javax.swing.JViewport","0.00%","392","1"
"javax.sound.sampled.AudioFormat","0.00%","384","31"
"com.bixly.pastevid.screencap.components.settings.SettingsPanel","0.00%","384","1"
"sun.java2d.loops.SurfaceType","0.00%","384","48"
"sun.awt.im.InputMethodContext","0.00%","384","24"
"java.awt.Rectangle[]","0.00%","384","50"
"javax.swing.JScrollPane$ScrollBar","0.00%","384","2"
