"Class Name - Allocated Objects","Bytes Allocated","Bytes Allocated","Objects Allocated"
"java.awt.color.ICC_Profile$4","0.00%","0","0"
"sun.awt.color.ProfileDeferralMgr","0.00%","0","0"
"float[][]","0.00%","0","0"
"sun.awt.color.CMM$CSAccessor","0.00%","0","0"
"sun.awt.HeadlessToolkit","0.00%","0","0"
"java.awt.Toolkit$DesktopPropertyChangeSupport$1","0.00%","0","0"
"sun.nio.ch.Util$4","0.00%","0","0"
"sun.nio.ch.Util$2","0.00%","0","0"
"sun.nio.ch.Util$SelectorWrapper","0.00%","0","0"
"sun.nio.ch.Util","0.00%","0","0"
"java.lang.ExceptionInInitializerError","0.00%","0","0"
"java.lang.Byte[]","0.00%","0","0"
"java.lang.Byte[][]","0.00%","0","0"
"sun.security.util.ObjectIdentifier[]","0.00%","0","0"
"com.apple.java.Application","0.00%","0","0"
"sun.security.pkcs.SigningCertificateInfo","0.00%","0","0"
"sun.security.pkcs.PKCS9Attribute","0.00%","0","0"
"javax.imageio.spi.ServiceRegistry","0.00%","0","0"
"java.nio.charset.CharsetEncoder","0.00%","0","0"
"sun.security.x509.EDIPartyName","0.00%","0","0"
"sun.security.x509.OIDName","0.00%","0","0"
"sun.security.x509.IPAddressName","0.00%","0","0"
"sun.security.x509.URIName","0.00%","0","0"
"sun.security.x509.DNSName","0.00%","0","0"
"sun.security.x509.OtherName","0.00%","0","0"
"com.sun.jmx.mbeanserver.OpenConverter$CollectionConverter","0.00%","0","0"
"java.lang.management.ManagementFactory$1","0.00%","0","0"
"java.lang.management.ManagementFactory","0.00%","0","0"
"java.util.Collections$EmptyMap","0.00%","0","0"
"java.text.Normalizer$Form[]","0.00%","0","0"
"java.text.Normalizer$Form","0.00%","0","0"
"sun.text.normalizer.NormalizerBase$1","0.00%","0","0"
"java.security.spec.RSAPrivateKeySpec","0.00%","0","0"
"java.security.spec.RSAPrivateCrtKeySpec","0.00%","0","0"
"java.security.spec.RSAPublicKeySpec","0.00%","0","0"
"sun.security.rsa.RSAKeyFactory","0.00%","0","0"
"javax.management.openmbean.OpenType[]","0.00%","0","0"
"com.sun.jmx.mbeanserver.ConvertingMethod","0.00%","0","0"
"sun.nio.cs.Unicode","0.00%","0","0"
"java.net.InetAddress$2","0.00%","0","0"
"java.lang.reflect.AccessibleObject","0.00%","0","0"
"javax.imageio.spi.IIOServiceProvider","0.00%","0","0"
"javax.imageio.spi.ImageReaderWriterSpi","0.00%","0","0"
"javax.imageio.spi.ImageReaderSpi","0.00%","0","0"
"com.sun.imageio.plugins.gif.GIFImageReader","0.00%","0","0"
"javax.imageio.spi.ImageWriterSpi","0.00%","0","0"
"com.sun.imageio.plugins.gif.GIFImageWriter","0.00%","0","0"
"com.sun.imageio.plugins.bmp.BMPImageReader","0.00%","0","0"
"com.sun.imageio.plugins.bmp.BMPImageWriter","0.00%","0","0"
"com.sun.imageio.plugins.wbmp.WBMPImageReader","0.00%","0","0"
"com.sun.imageio.plugins.wbmp.WBMPImageWriter","0.00%","0","0"
"sun.misc.Cleaner$1","0.00%","0","0"
"com.sun.imageio.plugins.png.PNGImageWriter","0.00%","0","0"
"sun.nio.cs.MacRoman","0.00%","0","0"
"com.sun.imageio.plugins.jpeg.JPEG","0.00%","0","0"
"java.lang.management.MemoryUsage","0.00%","0","0"
"sun.security.x509.RDN[]","0.00%","0","0"
"java.net.InetAddressImplFactory","0.00%","0","0"
"javax.imageio.spi.ImageInputStreamSpi","0.00%","0","0"
"java.security.spec.EncodedKeySpec","0.00%","0","0"
"javax.imageio.spi.ImageOutputStreamSpi","0.00%","0","0"
"java.lang.ThreadGroup[]","0.00%","0","0"
"java.lang.ThreadGroup","0.00%","0","0"
"javax.imageio.stream.MemoryCacheImageInputStream","0.00%","0","0"
"javax.imageio.stream.FileCacheImageOutputStream","0.00%","0","0"
"javax.imageio.stream.MemoryCacheImageOutputStream","0.00%","0","0"
"sun.misc.Service","0.00%","0","0"
"sun.misc.ServiceConfigurationError","0.00%","0","0"
"java.util.Collections$SingletonList","0.00%","0","0"
"com.sun.imageio.plugins.tiff.TIFFImageReader","0.00%","0","0"
"java.util.WeakHashMap$EntrySet","0.00%","0","0"
"java.util.WeakHashMap$Values","0.00%","0","0"
"java.awt.KeyboardFocusManager","0.00%","0","0"
"java.lang.SystemClassLoaderAction","0.00%","0","0"
"java.beans.VetoableChangeSupport","0.00%","0","0"
"java.lang.ClassLoader$1","0.00%","0","0"
"java.lang.ClassLoader","0.00%","0","0"
"java.security.AuthProvider","0.00%","0","0"
"sun.util.resources.LocaleData$LocaleDataResourceBundleControl","0.00%","0","0"
"sun.security.x509.SubjectKeyIdentifierExtension","0.00%","0","0"
"sun.security.util.DerOutputStream[]","0.00%","0","0"
"sun.security.provider.DSA","0.00%","0","0"
"java.util.Collections$ReverseComparator","0.00%","0","0"
"java.util.regex.Pattern$CharProperty","0.00%","0","0"
"java.nio.channels.FileLockInterruptionException","0.00%","0","0"
"java.awt.DefaultKeyboardFocusManager$1","0.00%","0","0"
"sun.nio.ch.FileLockImpl","0.00%","0","0"
"java.awt.FocusTraversalPolicy","0.00%","0","0"
"java.awt.ContainerOrderFocusTraversalPolicy","0.00%","0","0"
"sun.nio.ch.FileChannelImpl$SimpleFileLockTable","0.00%","0","0"
"javax.swing.JComponent","0.00%","0","0"
"sun.nio.ch.FileChannelImpl$SharedFileLockTable","0.00%","0","0"
"javax.swing.DebugGraphics","0.00%","0","0"
"javax.swing.LegacyGlueFocusTraversalPolicy","0.00%","0","0"
"javax.swing.JComponent$ActionStandin","0.00%","0","0"
"javax.swing.KeyStroke[][]","0.00%","0","0"
"java.nio.channels.NonWritableChannelException","0.00%","0","0"
"java.nio.channels.NonReadableChannelException","0.00%","0","0"
"sun.nio.ch.FileChannelImpl$1","0.00%","0","0"
"java.nio.channels.ClosedChannelException","0.00%","0","0"
"sun.text.normalizer.NormalizerBase$NFKDMode","0.00%","0","0"
"sun.text.normalizer.NormalizerBase","0.00%","0","0"
"java.beans.VetoableChangeListener[]","0.00%","0","0"
"sun.misc.Launcher$ExtClassLoader","0.00%","0","0"
"javax.swing.event.AncestorListener[]","0.00%","0","0"
"sun.misc.Launcher$ExtClassLoader$1","0.00%","0","0"
"javax.swing.JComponent$ReadObjectCallback","0.00%","0","0"
"java.text.ChoiceFormat","0.00%","0","0"
"javax.swing.SwingUtilities","0.00%","0","0"
"java.text.AttributedCharacterIterator[]","0.00%","0","0"
"javax.swing.event.MenuDragMouseEvent","0.00%","0","0"
"java.lang.StringBuffer[]","0.00%","0","0"
"java.text.Format[]","0.00%","0","0"
"javax.swing.CellRendererPane","0.00%","0","0"
"sun.management.GarbageCollectorImpl","0.00%","0","0"
"sun.management.ManagementFactory$2","0.00%","0","0"
"sun.management.ManagementFactory$1","0.00%","0","0"
"sun.management.HotspotCompilation","0.00%","0","0"
"sun.management.HotspotMemory","0.00%","0","0"
"sun.management.HotspotThread","0.00%","0","0"
"javax.swing.JRootPane$AccessibleJRootPane","0.00%","0","0"
"sun.management.HotspotClassLoading","0.00%","0","0"
"javax.swing.JPanel$AccessibleJPanel","0.00%","0","0"
"javax.swing.UIManager","0.00%","0","0"
"sun.management.HotspotRuntime","0.00%","0","0"
"sun.management.MemoryImpl","0.00%","0","0"
"sun.management.ManagementFactory","0.00%","0","0"
"javax.swing.UnsupportedLookAndFeelException","0.00%","0","0"
"javax.swing.plaf.metal.MetalLookAndFeel","0.00%","0","0"
"javax.swing.LookAndFeel[]","0.00%","0","0"
"java.util.SubList","0.00%","0","0"
"java.util.AbstractList","0.00%","0","0"
"java.text.Normalizer","0.00%","0","0"
"sun.security.jca.ServiceId[]","0.00%","0","0"
"sun.swing.SwingUtilities2","0.00%","0","0"
"java.security.Signature","0.00%","0","0"
"java.awt.font.LineBreakMeasurer","0.00%","0","0"
"sun.swing.SwingUtilities2$1","0.00%","0","0"
"sun.misc.URLClassPath$FileLoader","0.00%","0","0"
"java.util.concurrent.FutureTask","0.00%","0","0"
"sun.security.util.ByteArrayLexOrder","0.00%","0","0"
"com.sun.jmx.mbeanserver.OpenConverter$IdentityConverter","0.00%","0","0"
"java.io.ObjectStreamClass$EntryFuture$1","0.00%","0","0"
"javax.management.openmbean.CompositeType","0.00%","0","0"
"javax.swing.event.SwingPropertyChangeSupport","0.00%","0","0"
"java.lang.reflect.ReflectAccess","0.00%","0","0"
"javax.swing.MultiUIDefaults$MultiUIDefaultsEnumerator","0.00%","0","0"
"javax.swing.LookAndFeel","0.00%","0","0"
"javax.swing.text.JTextComponent$KeyBinding[]","0.00%","0","0"
"javax.swing.text.JTextComponent$KeyBinding","0.00%","0","0"
"java.lang.reflect.Modifier","0.00%","0","0"
"java.security.KeyFactorySpi","0.00%","0","0"
"sun.security.provider.DigestBase","0.00%","0","0"
"sun.management.NotificationEmitterSupport$ListenerInfo","0.00%","0","0"
"javax.swing.plaf.basic.BasicLookAndFeel","0.00%","0","0"
"javax.swing.plaf.basic.BasicLookAndFeel$AWTEventHelper","0.00%","0","0"
"javax.swing.plaf.basic.BasicLookAndFeel$1","0.00%","0","0"
"sun.management.NotificationEmitterSupport","0.00%","0","0"
"sun.misc.FpUtils","0.00%","0","0"
"java.security.NoSuchProviderException","0.00%","0","0"
"sun.security.jca.GetInstance","0.00%","0","0"
"java.io.WriteAbortedException","0.00%","0","0"
"java.io.OptionalDataException","0.00%","0","0"
"java.io.ObjectInputStream$1","0.00%","0","0"
"javax.swing.plaf.basic.BasicLookAndFeel$3","0.00%","0","0"
"java.io.ObjectInputStream$GetFieldImpl","0.00%","0","0"
"java.io.NotActiveException","0.00%","0","0"
"java.io.ObjectInputStream$ValidationList","0.00%","0","0"
"java.io.ObjectInputStream","0.00%","0","0"
"java.net.URISyntaxException","0.00%","0","0"
"java.security.Timestamp","0.00%","0","0"
"sun.security.timestamp.TimestampToken","0.00%","0","0"
"java.util.jar.JarVerifier$4","0.00%","0","0"
"java.util.jar.JarVerifier$2","0.00%","0","0"
"sun.swing.DefaultLookup","0.00%","0","0"
"java.util.jar.JarVerifier$1","0.00%","0","0"
"java.security.CodeSource[]","0.00%","0","0"
"java.util.jar.JarVerifier$VerifierCodeSource","0.00%","0","0"
"javax.swing.PopupFactory","0.00%","0","0"
"sun.security.util.SignatureFileVerifier","0.00%","0","0"
"com.apple.laf.AquaMnemonicHandler","0.00%","0","0"
"sun.security.util.ManifestDigester","0.00%","0","0"
"com.apple.laf.AquaUtils$LazySingleton","0.00%","0","0"
"java.util.Hashtable$EmptyIterator","0.00%","0","0"
"apple.laf.JRSUIUtils$TabbedPane","0.00%","0","0"
"apple.laf.JRSUIUtils","0.00%","0","0"
"java.util.Hashtable$ValueCollection","0.00%","0","0"
"java.lang.ApplicationShutdownHooks$1","0.00%","0","0"
"sun.swing.SwingUtilities2$2$1","0.00%","0","0"
"javax.swing.DefaultListCellRenderer$UIResource","0.00%","0","0"
"java.awt.geom.Dimension2D","0.00%","0","0"
"java.lang.Character$CharacterCache","0.00%","0","0"
"java.util.concurrent.locks.ReentrantLock$Sync","0.00%","0","0"
"java.util.concurrent.locks.ReentrantLock$FairSync","0.00%","0","0"
"java.lang.management.ManagementPermission","0.00%","0","0"
"java.util.zip.ZipError","0.00%","0","0"
"com.apple.laf.AquaUtils","0.00%","0","0"
"sun.management.counter.perf.PerfInstrumentation","0.00%","0","0"
"sun.misc.Perf$GetPerfAction","0.00%","0","0"
"com.apple.laf.AquaUtils$4","0.00%","0","0"
"sun.management.VMManagementImpl","0.00%","0","0"
"javax.management.MBeanInfo$ArrayGettersSafeAction","0.00%","0","0"
"com.apple.laf.AquaUtils$5","0.00%","0","0"
"sun.security.jca.ProviderList$ServiceList$1","0.00%","0","0"
"com.sun.jmx.interceptor.DefaultMBeanServerInterceptor$1","0.00%","0","0"
"javax.management.MBeanTrustPermission","0.00%","0","0"
"com.sun.jmx.interceptor.DefaultMBeanServerInterceptor$ListenerWrapper","0.00%","0","0"
"javax.swing.border.AbstractBorder","0.00%","0","0"
"javax.management.MBeanServerNotification","0.00%","0","0"
"javax.management.MBeanRegistrationException","0.00%","0","0"
"sun.util.resources.TimeZoneNames_en","0.00%","0","0"
"sun.security.util.ManifestEntryVerifier$SunProviderHolder","0.00%","0","0"
"com.apple.laf.AquaPainter","0.00%","0","0"
"com.sun.jmx.mbeanserver.MXBeanLookup","0.00%","0","0"
"apple.laf.JRSUIConstants$Property","0.00%","0","0"
"sun.security.provider.NativePRNG","0.00%","0","0"
"java.util.AbstractCollection","0.00%","0","0"
"sun.nio.cs.StandardCharsets$Aliases","0.00%","0","0"
"com.apple.laf.AquaImageFactory","0.00%","0","0"
"com.sun.jmx.mbeanserver.OpenConverter$ArrayConverter","0.00%","0","0"
"com.apple.laf.AquaImageFactory$1","0.00%","0","0"
"sun.text.normalizer.NormalizerBase$NFKCMode","0.00%","0","0"
"java.security.spec.DSAPrivateKeySpec","0.00%","0","0"
"java.security.spec.DSAPublicKeySpec","0.00%","0","0"
"sun.security.provider.DSAPrivateKey","0.00%","0","0"
"com.apple.laf.AquaImageFactory$5","0.00%","0","0"
"com.apple.laf.AquaImageFactory$6","0.00%","0","0"
"com.apple.laf.AquaImageFactory$7","0.00%","0","0"
"com.apple.laf.AquaImageFactory$InvertableImageIcon","0.00%","0","0"
"sun.security.provider.DSAKeyFactory","0.00%","0","0"
"sun.security.util.ManifestDigester$Entry","0.00%","0","0"
"java.lang.NegativeArraySizeException","0.00%","0","0"
"java.util.BitSet","0.00%","0","0"
"com.apple.laf.AquaNativeResources","0.00%","0","0"
"java.net.SocksSocketImpl$8","0.00%","0","0"
"java.net.SocksSocketImpl$7","0.00%","0","0"
"apple.awt.CColor","0.00%","0","0"
"apple.awt.CColorPaint","0.00%","0","0"
"java.net.SocksSocketImpl$6","0.00%","0","0"
"java.net.SocksSocketImpl$4","0.00%","0","0"
"java.net.SocksSocketImpl$3","0.00%","0","0"
"java.net.SocksSocketImpl$2","0.00%","0","0"
"java.net.SocksSocketImpl$1","0.00%","0","0"
"java.net.Socket$1","0.00%","0","0"
"sun.misc.InvalidJarIndexException","0.00%","0","0"
"sun.misc.URLClassPath$JarLoader$3","0.00%","0","0"
"javax.swing.AbstractAction","0.00%","0","0"
"javax.swing.text.TextAction","0.00%","0","0"
"sun.misc.URLClassPath$JarLoader$1","0.00%","0","0"
"com.apple.laf.AquaKeyBindings$DeleteWordAction","0.00%","0","0"
"com.apple.laf.AquaBorder","0.00%","0","0"
"com.apple.laf.AquaButtonBorder","0.00%","0","0"
"sun.misc.URLClassPath$JarLoader","0.00%","0","0"
"java.lang.CharacterDataLatin1","0.00%","0","0"
"java.util.IdentityHashMap$EntrySet","0.00%","0","0"
"java.util.IdentityHashMap$Values","0.00%","0","0"
"java.io.InputStream","0.00%","0","0"
"sun.text.normalizer.NormalizerBase$QuickCheckResult","0.00%","0","0"
"com.apple.laf.AquaIcon$CachingScalingIcon","0.00%","0","0"
"sun.net.www.protocol.jar.URLJarFile$1","0.00%","0","0"
"sun.nio.cs.StandardCharsets$Classes","0.00%","0","0"
"sun.security.pkcs11.SunPKCS11$P11Service","0.00%","0","0"
"javax.swing.plaf.BorderUIResource$EtchedBorderUIResource","0.00%","0","0"
"javax.swing.plaf.BorderUIResource$BevelBorderUIResource","0.00%","0","0"
"javax.swing.BorderFactory","0.00%","0","0"
"java.util.LinkedHashMap$LinkedHashIterator","0.00%","0","0"
"sun.misc.IOUtils","0.00%","0","0"
"javax.swing.border.TitledBorder","0.00%","0","0"
"javax.swing.border.CompoundBorder","0.00%","0","0"
"javax.swing.border.MatteBorder","0.00%","0","0"
"javax.management.openmbean.SimpleType[]","0.00%","0","0"
"javax.swing.FocusManager","0.00%","0","0"
"javax.swing.DelegatingDefaultFocusManager","0.00%","0","0"
"javax.swing.InternalFrameFocusTraversalPolicy","0.00%","0","0"
"javax.swing.SortingFocusTraversalPolicy","0.00%","0","0"
"javax.management.openmbean.SimpleType","0.00%","0","0"
"sun.nio.cs.SingleByteEncoder","0.00%","0","0"
"sun.security.x509.UnparseableExtension","0.00%","0","0"
"javax.management.MBeanFeatureInfo","0.00%","0","0"
"java.util.Dictionary","0.00%","0","0"
"javax.swing.RepaintManager$DoubleBufferInfo","0.00%","0","0"
"java.security.SignatureSpi","0.00%","0","0"
"javax.swing.BufferStrategyPaintManager","0.00%","0","0"
"sun.misc.URLClassPath$3","0.00%","0","0"
"javax.swing.RepaintManager$DisplayChangedRunnable","0.00%","0","0"
"sun.awt.PaintEventDispatcher","0.00%","0","0"
"sun.awt.event.IgnorePaintEvent","0.00%","0","0"
"java.util.ResourceBundle$1","0.00%","0","0"
"javax.swing.plaf.ComponentUI","0.00%","0","0"
"javax.swing.plaf.PanelUI","0.00%","0","0"
"javax.swing.plaf.basic.BasicPanelUI","0.00%","0","0"
"java.util.ResourceBundle","0.00%","0","0"
"java.security.SecureRandomSpi","0.00%","0","0"
"java.security.AllPermissionCollection$1","0.00%","0","0"
"com.apple.laf.AquaFonts","0.00%","0","0"
"java.util.ResourceBundle$RBClassLoader","0.00%","0","0"
"java.util.ResourceBundle$RBClassLoader$1","0.00%","0","0"
"java.lang.ProcessEnvironment","0.00%","0","0"
"java.util.concurrent.locks.AbstractOwnableSynchronizer","0.00%","0","0"
"java.util.Collections$SynchronizedCollection","0.00%","0","0"
"sun.misc.OSEnvironment","0.00%","0","0"
"sun.security.provider.PolicyFile$10","0.00%","0","0"
"sun.security.provider.PolicyFile$9","0.00%","0","0"
"com.sun.java.swing.SwingUtilities3","0.00%","0","0"
"com.sun.java.swing.SwingUtilities3$EventQueueDelegateFromMap","0.00%","0","0"
"javax.security.auth.Subject","0.00%","0","0"
"sun.java2d.pipe.ShapeSpanIterator","0.00%","0","0"
"sun.java2d.pipe.RegionIterator","0.00%","0","0"
"sun.java2d.pipe.RegionSpanIterator","0.00%","0","0"
"sun.java2d.pipe.RegionClipSpanIterator","0.00%","0","0"
"sun.security.provider.PolicyParser$PrincipalEntry","0.00%","0","0"
"javax.swing.JLayeredPane$AccessibleJLayeredPane","0.00%","0","0"
"javax.swing.plaf.RootPaneUI","0.00%","0","0"
"sun.security.provider.PolicyFile$8","0.00%","0","0"
"sun.security.provider.PolicyFile$7","0.00%","0","0"
"javax.swing.plaf.basic.BasicRootPaneUI$Actions","0.00%","0","0"
"sun.security.provider.PolicyFile$6","0.00%","0","0"
"sun.security.provider.PolicyFile$5","0.00%","0","0"
"java.awt.AWTPermission","0.00%","0","0"
"javax.swing.plaf.MenuBarUI","0.00%","0","0"
"javax.swing.plaf.basic.BasicMenuBarUI","0.00%","0","0"
"javax.swing.plaf.basic.BasicMenuBarUI$Actions","0.00%","0","0"
"javax.swing.plaf.basic.DefaultMenuLayout","0.00%","0","0"
"javax.swing.plaf.basic.BasicMenuBarUI$Handler","0.00%","0","0"
"com.apple.laf.AquaMenuBarUI","0.00%","0","0"
"com.apple.laf.ScreenMenuBar","0.00%","0","0"
"java.net.NetPermission","0.00%","0","0"
"java.awt.AWTEvent","0.00%","0","0"
"java.security.UnresolvedPermission","0.00%","0","0"
"java.awt.Event","0.00%","0","0"
"sun.security.provider.PolicyFile$SelfPermission","0.00%","0","0"
"java.awt.event.InputEvent","0.00%","0","0"
"java.awt.event.KeyEvent","0.00%","0","0"
"java.awt.event.NativeLibLoader","0.00%","0","0"
"sun.security.provider.PolicyFile$PolicyEntry","0.00%","0","0"
"sun.security.provider.PolicyFile$4","0.00%","0","0"
"sun.security.provider.PolicyParser","0.00%","0","0"
"com.bixly.pastevid.Settings","0.00%","0","0"
"java.text.DateFormat","0.00%","0","0"
"java.text.CharacterIteratorFieldDelegate","0.00%","0","0"
"sun.security.provider.PolicyFile$3","0.00%","0","0"
"sun.security.provider.PolicyFile$2","0.00%","0","0"
"java.util.Calendar","0.00%","0","0"
"sun.util.BuddhistCalendar","0.00%","0","0"
"java.util.JapaneseImperialCalendar","0.00%","0","0"
"java.util.Calendar$1","0.00%","0","0"
"sun.util.resources.LocaleNamesBundle","0.00%","0","0"
"sun.security.provider.PolicyFile$1","0.00%","0","0"
"sun.security.provider.PolicyFile$PolicyInfo","0.00%","0","0"
"java.util.concurrent.atomic.AtomicReference","0.00%","0","0"
"sun.util.calendar.BaseCalendar$Date","0.00%","0","0"
"java.security.Signature$CipherAdapter","0.00%","0","0"
"java.security.Signature$Delegate","0.00%","0","0"
"java.text.NumberFormat","0.00%","0","0"
"sun.net.www.MeteredStream","0.00%","0","0"
"sun.net.ProgressSource","0.00%","0","0"
"com.sun.jmx.mbeanserver.PerInterface$MethodAndSig","0.00%","0","0"
"java.util.CurrencyData","0.00%","0","0"
"java.util.concurrent.atomic.AtomicReferenceFieldUpdater$AtomicReferenceFieldUpdaterImpl","0.00%","0","0"
"java.util.concurrent.atomic.AtomicReferenceFieldUpdater","0.00%","0","0"
"sun.nio.cs.US_ASCII$Encoder","0.00%","0","0"
"sun.security.x509.X509Key","0.00%","0","0"
"java.nio.charset.CoderResult$2","0.00%","0","0"
"java.nio.charset.CoderResult$1","0.00%","0","0"
"com.bixly.pastevid.util.LogUtil","0.00%","0","0"
"java.nio.charset.UnmappableCharacterException","0.00%","0","0"
"java.nio.charset.MalformedInputException","0.00%","0","0"
"com.bixly.pastevid.util.MediaUtil","0.00%","0","0"
"java.util.FormatterClosedException","0.00%","0","0"
"java.util.MissingFormatArgumentException","0.00%","0","0"
"java.nio.charset.CoderResult","0.00%","0","0"
"java.util.TimeZone$DisplayNames","0.00%","0","0"
"java.net.SocketAddress","0.00%","0","0"
"java.util.UnknownFormatConversionException","0.00%","0","0"
"sun.misc.MetaIndex","0.00%","0","0"
"java.util.regex.ASCII","0.00%","0","0"
"java.util.IllegalFormatWidthException","0.00%","0","0"
"java.util.IllegalFormatPrecisionException","0.00%","0","0"
"java.util.IllegalFormatCodePointException","0.00%","0","0"
"java.util.MissingFormatWidthException","0.00%","0","0"
"sun.misc.Signal$1","0.00%","0","0"
"java.util.IllegalFormatFlagsException","0.00%","0","0"
"sun.misc.FormattedFloatingDecimal","0.00%","0","0"
"java.math.MathContext","0.00%","0","0"
"java.util.Formatter$FormatSpecifier$BigDecimalLayout","0.00%","0","0"
"java.util.FormatFlagsConversionMismatchException","0.00%","0","0"
"java.util.IllegalFormatConversionException","0.00%","0","0"
"java.security.cert.CRLException","0.00%","0","0"
"java.util.DuplicateFormatFlagsException","0.00%","0","0"
"java.util.UnknownFormatFlagsException","0.00%","0","0"
"java.util.Formatter$Conversion","0.00%","0","0"
"com.bixly.pastevid.util.TimeUtil","0.00%","0","0"
"sun.security.util.Cache$EqualByteArray","0.00%","0","0"
"sun.security.provider.X509Factory","0.00%","0","0"
"java.beans.Beans","0.00%","0","0"
"java.beans.Beans$1","0.00%","0","0"
"java.beans.ObjectInputStreamWithLoader","0.00%","0","0"
"java.beans.Beans$2","0.00%","0","0"
"java.beans.BeansAppletContext","0.00%","0","0"
"java.beans.BeansAppletStub","0.00%","0","0"
"java.awt.MenuBar","0.00%","0","0"
"sun.security.x509.X509CertImpl[]","0.00%","0","0"
"sun.awt.image.InputStreamImageSource","0.00%","0","0"
"sun.security.x509.X509CRLImpl","0.00%","0","0"
"java.security.cert.X509CRL[]","0.00%","0","0"
"sun.awt.image.JPEGImageDecoder","0.00%","0","0"
"sun.awt.image.XbmImageDecoder","0.00%","0","0"
"java.security.cert.CertificateExpiredException","0.00%","0","0"
"java.awt.Image","0.00%","0","0"
"java.awt.image.AreaAveragingScaleFilter","0.00%","0","0"
"java.awt.image.ReplicateScaleFilter","0.00%","0","0"
"sun.security.x509.PKIXExtensions","0.00%","0","0"
"sun.awt.image.ImageRepresentation","0.00%","0","0"
"java.util.concurrent.CopyOnWriteArrayList$COWSubList","0.00%","0","0"
"sun.awt.image.SurfaceManager$ImageAccessor","0.00%","0","0"
"sun.awt.image.SurfaceManager","0.00%","0","0"
"sun.awt.image.NativeLibLoader","0.00%","0","0"
"java.lang.ProcessImpl","0.00%","0","0"
"sun.security.util.MemoryCache$HardCacheEntry","0.00%","0","0"
"java.awt.image.RasterFormatException","0.00%","0","0"
"sun.awt.image.OffScreenImageSource","0.00%","0","0"
"java.awt.Point[]","0.00%","0","0"
"java.util.concurrent.ConcurrentHashMap$ValueIterator","0.00%","0","0"
"java.util.concurrent.ConcurrentHashMap$KeyIterator","0.00%","0","0"
"java.util.concurrent.ConcurrentHashMap$EntrySet","0.00%","0","0"
"java.util.concurrent.ConcurrentHashMap$Values","0.00%","0","0"
"java.util.concurrent.ConcurrentHashMap$KeySet","0.00%","0","0"
"java.awt.Canvas$AccessibleAWTCanvas","0.00%","0","0"
"javax.management.MBeanServerPermission","0.00%","0","0"
"java.awt.MediaEntry","0.00%","0","0"
"sun.awt.image.ImageWatched","0.00%","0","0"
"javax.management.JMRuntimeException","0.00%","0","0"
"javax.management.MBeanServerFactory","0.00%","0","0"
"sun.security.pkcs11.wrapper.CK_MECHANISM","0.00%","0","0"
"java.util.AbstractSequentialList","0.00%","0","0"
"sun.management.ClassLoadingImpl","0.00%","0","0"
"com.apple.java.Usage","0.00%","0","0"
"java.util.Collections$UnmodifiableCollection$1","0.00%","0","0"
"sun.net.ProgressEvent","0.00%","0","0"
"java.util.Collections$UnmodifiableCollection","0.00%","0","0"
"java.net.InetAddress","0.00%","0","0"
"java.net.ServerSocket$1","0.00%","0","0"
"java.net.ServerSocket","0.00%","0","0"
"sun.net.www.MimeTable$DefaultInstanceHolder","0.00%","0","0"
"java.util.logging.Level","0.00%","0","0"
"sun.net.www.MimeLauncher","0.00%","0","0"
"sun.management.GcInfoCompositeData","0.00%","0","0"
"com.sun.management.GcInfo","0.00%","0","0"
"sun.awt.image.ImageDecoder","0.00%","0","0"
"java.security.spec.DSAParameterSpec","0.00%","0","0"
"sun.awt.image.PNGImageDecoder$PNGException","0.00%","0","0"
"sun.awt.image.PNGImageDecoder$Chromaticities","0.00%","0","0"
"sun.security.provider.DSAParameters","0.00%","0","0"
"java.util.logging.LogManager$RootLogger","0.00%","0","0"
"java.awt.image.Raster","0.00%","0","0"
"java.security.PermissionsHash","0.00%","0","0"
"java.awt.image.DataBufferUShort","0.00%","0","0"
"java.security.PermissionsEnumerator","0.00%","0","0"
"sun.security.x509.X500Name$1","0.00%","0","0"
"sun.awt.image.ShortInterleavedRaster","0.00%","0","0"
"java.awt.image.BandedSampleModel","0.00%","0","0"
"sun.awt.image.ByteBandedRaster","0.00%","0","0"
"sun.awt.image.ShortBandedRaster","0.00%","0","0"
"sun.awt.image.SunWritableRaster","0.00%","0","0"
"java.lang.ref.Reference","0.00%","0","0"
"java.awt.image.MultiPixelPackedSampleModel","0.00%","0","0"
"sun.awt.image.BytePackedRaster","0.00%","0","0"
"java.awt.image.DataBuffer","0.00%","0","0"
"java.awt.image.SampleModel","0.00%","0","0"
"java.awt.image.WritableRaster","0.00%","0","0"
"sun.awt.image.IntegerComponentRaster","0.00%","0","0"
"sun.awt.image.CachingSurfaceManager","0.00%","0","0"
"sun.awt.image.CachingSurfaceManager$ImageCapabilitiesGc","0.00%","0","0"
"sun.java2d.SurfaceManagerFactory","0.00%","0","0"
"apple.awt.OSXSurfaceManagerFactory","0.00%","0","0"
"sun.java2d.opengl.CGLCachingSurfaceManager","0.00%","0","0"
"sun.nio.cs.StandardCharsets$Cache","0.00%","0","0"
"sun.java2d.opengl.CGLVolatileSurfaceManager","0.00%","0","0"
"apple.awt.OSXVolatileSurfaceManager","0.00%","0","0"
"sun.java2d.SurfaceData","0.00%","0","0"
"sun.misc.CharacterDecoder","0.00%","0","0"
"java.net.UnknownServiceException","0.00%","0","0"
"java.net.URLConnection","0.00%","0","0"
"java.lang.NoClassDefFoundError","0.00%","0","0"
