"Call Tree - Method","Time [%]","Time","Invocations",
"          com.bixly.pastevid.screencap.components.preview.PreviewPlayer.setSliderMax(Integer)","2.2095484E-4","6","1"
"         com.bixly.pastevid.editors.VideoScrubManager.setSpinnerVisibile(boolean)","0.84872437","23047","1"
"          com.bixly.pastevid.screencap.components.preview.PreviewPlayer.setSpinnerVisible(boolean)","0.8486139","23044","1"
"           Self time","0.8414697","22850","1"
"           com.bixly.pastevid.screencap.components.preview.PreviewPlayer.log(Object)","0.0069600777","189","1"
"            com.bixly.pastevid.util.LogUtil.log(Class, Object)","0.0068496","186","1"
"             com.bixly.pastevid.util.LogUtil.log(Class, String)","0.006812774","185","1"
"              Self time","0.006591819","179","1"
"              com.bixly.pastevid.structs.Queue.push(Object)","7.3651616E-5","2","1"
"             Self time","0.0","0","1"
"            Self time","7.3651616E-5","2","1"
"          Self time","7.3651616E-5","2","1"
"         Self time","0.026735537","726","1"
"         com.bixly.pastevid.editors.VideoScrubManager.initPreviewThread()","0.022684697","616","1"
"          Self time","0.01984911","539","1"
"          com.bixly.pastevid.editors.VideoScrubManager$PreviewVideoWithAudio.<init>(com.bixly.pastevid.editors.VideoScrubManager, com.bixly.pastevid.editors.VideoScrubManager.1)","0.0027251097","74","1"
"           com.bixly.pastevid.editors.VideoScrubManager$PreviewVideoWithAudio.<init>(com.bixly.pastevid.editors.VideoScrubManager)","0.0025778066","70","1"
"            com.bixly.pastevid.editors.VideoScrubManager$PreviewVideo.<init>(com.bixly.pastevid.editors.VideoScrubManager, com.bixly.pastevid.editors.VideoScrubManager.1)","0.0022463743","61","1"
"             com.bixly.pastevid.editors.VideoScrubManager$PreviewVideo.<init>(com.bixly.pastevid.editors.VideoScrubManager)","0.0021727227","59","1"
"             Self time","3.6825808E-5","1","1"
"            Self time","2.9460646E-4","8","1"
"           Self time","1.1047742E-4","3","1"
"          com.bixly.pastevid.recorders.Recorder.isLineOpen()","3.6825808E-5","1","1"
"           Self time","3.6825808E-5","1","1"
"           com.bixly.pastevid.recorders.AudioRecorder.isLineOpen()","0.0","0","1"
"          com.bixly.pastevid.recorders.Recorder.isDroppedCountReached()","0.0","0","1"
"         com.bixly.pastevid.editors.VideoScrubManager$3.<init>(com.bixly.pastevid.editors.VideoScrubManager)","2.5778066E-4","7","1"
"         com.bixly.pastevid.recorders.Recorder.isLineOpen()","3.6825808E-5","1","1"
"          Self time","3.6825808E-5","1","1"
"          com.bixly.pastevid.recorders.AudioRecorder.isLineOpen()","0.0","0","1"
"         com.bixly.pastevid.recorders.Recorder.isDroppedCountReached()","0.0","0","1"
"        com.bixly.pastevid.editors.VideoScrubManager.setPreviewTime(int)","0.19326183","5248","1"
"         Self time","0.19263579","5231","1"
"         com.bixly.pastevid.editors.VideoScrubManager$2.<init>(com.bixly.pastevid.editors.VideoScrubManager, int)","4.7873548E-4","13","1"
"         com.bixly.pastevid.screencap.components.preview.PreviewPlayer.setSliderValue(Integer)","7.3651616E-5","2","1"
"        com.bixly.pastevid.editors.VideoScrubManager.updateScrubMaps()","0.16619487","4513","1"
"         Self time","0.15662016","4253","1"
"         com.bixly.pastevid.editors.VideoScrubManager.log(Object)","0.006996903","190","1"
"          com.bixly.pastevid.util.LogUtil.log(Class, Object)","0.006812774","185","1"
"           com.bixly.pastevid.util.LogUtil.log(Class, String)","0.0067759487","184","1"
"            Self time","0.006554994","178","1"
"            com.bixly.pastevid.structs.Queue.push(Object)","7.3651616E-5","2","1"
"           Self time","0.0","0","1"
"          Self time","1.4730323E-4","4","1"
"        Self time","0.073467486","1995","1"
"        com.bixly.pastevid.screencap.ScreenRecorder.controlSetVisible(boolean)","0.055386014","1504","1"
